Sample_number,Bulk_Hole_No,From (m),To (m),Sample_Thickness (m),Lump (%), Fines (%),L/F Ratio,Dry Weight Lump (kg),Dry Weight Fines (kg),Moisture (%),Fe,SiO2,Al2O3,TiO2,MnO,CaO,P,S ,MgO,K2O,Na2O,LOI371,LOI650,LOI1000,LOITotal,Fe_Lump,SiO2_Lump,Al2O3_Lump,TiO2_Lump,MnO_Lump,CaO_Lump,P_Lump,S _Lump,MgO_Lump,K2O_Lump,Na2O_Lump,LOI371_Lump,LOI650_Lump,LOI1000_Lump,LOITotal_Lump,Fe_Head,SiO2_Head,Al2O3_Head,TiO2_Head,MnO_Head,CaO_Head,P_Head,S _Head,MgO_Head,K2O_Head,Na2O_Head,LOI371_Head,LOI650_Head,LOI1000_Head,LOITotal_Head
30649,CBS10,9.15,9.5,0.35,12.5,87.5,0.143,,,,61.20,2.35,1.78,0.03,0.15,0.07,0.056,0.028,0.06,0.01,0.03,6.99,0.71,0.25,7.95,61.57,1.88,1.4,0.021,0.14,0.04,0.052,0.022,0.04,0.01,0.01,7.13,0.69,0.19,8.01,61.25,2.29,1.73,0.03,0.15,0.07,0.06,0.03,0.06,0.01,0.03,7.01,0.71,0.24,7.96
30650,CBS10,9.5,9.9,0.4,19.0,81.0,0.234,,,,60.83,2.54,1.84,0.036,0.15,0.07,0.058,0.029,0.05,0.01,0.0,7.28,0.79,0.23,8.3,60.45,2.2,1.55,0.027,0.17,0.04,0.063,0.026,0.04,0.01,0.01,8.16,0.82,0.25,9.23,60.76,2.48,1.79,0.03,0.15,0.06,0.06,0.03,0.05,0.01,0.01,7.45,0.80,0.23,8.48
30651,CBS10,9.9,10.35,0.45,15.4,84.6,0.183,9.36,,,58.68,2.96,2.43,0.072,0.18,0.25,0.066,0.039,0.07,0.02,0.03,8.26,1.05,0.28,9.59,58.86,2.66,2.41,0.066,0.19,0.21,0.065,0.035,0.08,0.01,0.01,8.61,1.03,0.28,9.92,58.71,2.91,2.43,0.07,0.18,0.24,0.07,0.04,0.07,0.02,0.02,8.31,1.05,0.28,9.64
30652,CBS10,10.35,10.85,0.5,15.4,84.6,0.183,9.34,,,55.54,3.9,4.23,0.145,0.31,0.72,0.059,0.057,0.15,0.03,0.03,8.84,1.37,0.52,10.73,55.72,3.43,4.25,0.125,0.31,0.76,0.057,0.054,0.15,0.02,0.03,9.0,1.3,0.6,10.9,55.57,3.83,4.23,0.14,0.31,0.73,0.06,0.06,0.15,0.03,0.03,8.86,1.36,0.53,10.76
30653,CBS10,10.85,11.15,0.3,13.9,86.1,0.162,17.36,,,58.15,2.85,2.95,0.096,0.26,0.47,0.059,0.046,0.12,0.02,0.02,8.25,1.14,0.37,9.76,59.34,2.2,2.28,0.059,0.22,0.29,0.054,0.037,0.1,0.01,0.01,8.22,0.98,0.3,9.49,58.32,2.76,2.86,0.09,0.25,0.44,0.06,0.04,0.12,0.02,0.01,8.25,1.12,0.36,9.72
30654,CBS10,11.15,11.85,0.7,14.8,85.2,0.173,,,0.35,60.94,2.25,2.0,0.05,0.14,0.18,0.047,0.041,0.08,0.01,0.02,7.02,0.84,0.34,8.2,61.62,1.78,1.45,0.029,0.12,0.09,0.049,0.03,0.07,0.01,0.0,7.28,0.71,0.3,8.29,61.04,2.18,1.92,0.05,0.14,0.17,0.05,0.04,0.08,0.01,-,7.06,0.82,0.33,8.21
30655,CBS10,11.85,12.2,0.35,12.1,87.9,0.138,,,0.31,60.83,2.14,1.72,0.04,0.11,0.06,0.048,0.034,0.05,0.01,0.01,7.21,0.8,0.31,8.32,61.51,1.81,1.39,0.031,0.11,0.05,0.05,0.028,0.05,0.01,0.0,7.55,0.72,0.29,8.56,60.91,2.10,1.68,0.04,0.11,0.06,0.05,0.03,0.05,0.01,0.01,7.25,0.79,0.31,8.35
30656,CBS10,12.2,12.6,0.4,12.0,88.0,0.137,,,0.29,61.29,1.97,1.63,0.042,0.09,0.04,0.05,0.033,0.05,0.01,0.02,7.24,0.8,0.32,8.36,61.56,1.71,1.36,0.033,0.09,0.04,0.053,0.028,0.05,0.0,0.0,7.63,0.67,0.36,8.66,61.32,1.94,1.60,0.04,0.09,0.04,0.05,0.03,0.05,0.01,-,7.29,0.78,0.32,8.40
30657,CBS10,12.6,12.95,0.35,17.3,82.7,0.209,,,0.29,60.93,2.0,1.75,0.037,0.11,0.04,0.062,0.034,0.04,0.01,0.02,7.56,0.86,0.32,8.74,61.19,1.67,1.47,0.027,0.11,0.04,0.064,0.028,0.05,0.0,0.01,7.84,0.81,0.27,8.92,60.97,1.94,1.70,0.04,0.11,0.04,0.06,0.03,0.04,0.01,0.01,7.61,0.85,0.31,8.77
30658,CBS10,12.95,13.25,0.3,13.9,86.1,0.161,,,0.32,60.40,2.22,1.82,0.05,0.12,0.04,0.065,0.033,0.04,0.01,0.02,7.79,0.9,0.32,9.01,60.46,1.81,1.48,0.042,0.13,0.04,0.074,0.026,0.05,0.01,0.0,8.39,0.83,0.27,9.49,60.41,2.16,1.77,0.05,0.12,0.04,0.07,0.03,0.04,0.01,-,7.87,0.89,0.31,9.08
30659,CBS10,13.25,13.85,0.6,15.6,84.4,0.185,,,0.29,60.76,1.97,1.43,0.034,0.12,0.05,0.061,0.029,0.03,0.01,0.02,8.37,0.86,0.29,9.52,60.83,1.67,1.08,0.025,0.11,0.04,0.061,0.024,0.03,0.01,0.0,8.75,0.8,0.2,9.75,60.77,1.92,1.38,0.03,0.12,0.05,0.06,0.03,0.03,0.01,-,8.43,0.85,0.28,9.56
30660,CBS10,13.85,14.3,0.45,17.0,83.0,0.205,,,0.33,60.55,1.97,1.39,0.032,0.1,0.04,0.062,0.027,0.04,0.01,0.01,8.38,0.84,0.28,9.5,60.69,1.75,0.98,0.019,0.1,0.03,0.065,0.022,0.04,0.01,0.0,8.83,0.8,0.21,9.84,60.57,1.93,1.32,0.03,0.10,0.04,0.06,0.03,0.04,0.01,-,8.46,0.83,0.27,9.56
30661,CBS10,14.3,14.85,0.55,15.1,84.9,0.178,3.38,15.8,0.33,60.80,1.97,1.48,0.038,0.09,0.03,0.061,0.03,0.04,0.01,0.01,7.95,0.87,0.31,9.13,60.75,1.72,1.11,0.027,0.1,0.03,0.064,0.019,0.03,0.0,0.01,8.5,1.0,0.25,9.75,60.79,1.93,1.42,0.04,0.09,0.03,0.06,0.03,0.04,0.01,0.01,8.03,0.89,0.30,9.22
30662,CBS10,14.85,15.15,0.3,10.8,89.2,0.121,,14.9,0.34,60.93,2.01,1.43,0.037,0.1,0.03,0.064,0.03,0.03,0.01,0.01,7.8,0.85,0.31,8.96,60.99,1.69,1.09,0.026,0.11,0.02,0.067,0.021,0.04,0.0,0.01,8.55,0.81,0.28,9.64,60.94,1.98,1.39,0.04,0.10,0.03,0.06,0.03,0.03,0.01,0.01,7.88,0.85,0.31,9.03
30663,CBS10,15.15,15.5,0.35,17.4,82.6,0.211,3.95,15.8,0.39,60.34,2.31,1.56,0.04,0.12,0.04,0.068,0.033,0.04,0.01,0.01,7.94,0.88,0.32,9.14,60.89,1.77,1.19,0.024,0.11,0.03,0.073,0.022,0.02,0.0,0.02,8.47,0.99,0.29,9.75,60.44,2.22,1.50,0.04,0.12,0.04,0.07,0.03,0.04,0.01,0.01,8.03,0.90,0.31,9.25
30664,CBS10,15.5,16.0,0.5,17.4,82.6,0.211,3.95,15.75,0.51,60.60,2.19,1.51,0.043,0.12,0.04,0.069,0.026,0.03,0.01,0.01,7.8,0.9,0.33,9.03,60.51,1.88,1.22,0.025,0.13,0.04,0.074,0.029,0.03,0.0,0.01,8.22,1.07,0.3,9.59,60.58,2.14,1.46,0.04,0.12,0.04,0.07,0.03,0.03,0.01,0.01,7.87,0.93,0.32,9.13
30665,CBS10,16.0,16.4,0.4,28.5,71.5,0.399,7.44,15.8,0.33,60.26,2.34,1.68,0.045,0.13,0.09,0.07,0.032,0.04,0.01,0.01,7.68,0.94,0.37,8.99,60.56,1.94,1.34,0.021,0.14,0.07,0.078,0.03,0.03,0.0,0.02,8.25,0.97,0.34,9.56,60.35,2.23,1.58,0.04,0.13,0.08,0.07,0.03,0.04,0.01,0.02,7.84,0.95,0.36,9.15
30666,CBS10,16.4,16.9,0.5,12.9,87.1,0.149,2.88,15.8,0.38,60.61,2.04,1.49,0.032,0.13,0.04,0.071,0.027,0.04,0.01,0.01,7.78,0.83,0.33,8.94,60.73,1.92,1.25,0.018,0.14,0.03,0.074,0.022,0.02,0.01,0.01,8.3,0.85,0.26,9.41,60.63,2.02,1.46,0.03,0.13,0.04,0.07,0.03,0.04,0.01,0.01,7.85,0.83,0.32,9.00
30667,CBS10,16.9,17.3,0.4,14.9,85.1,0.175,3.35,15.8,0.49,60.62,2.31,1.69,0.037,0.14,0.07,0.072,0.03,0.05,0.01,0.01,7.37,0.85,0.36,8.58,60.42,2.05,1.52,0.022,0.16,0.05,0.078,0.026,0.05,0.01,0.01,7.92,0.91,0.27,9.1,60.59,2.27,1.66,0.03,0.14,0.07,0.07,0.03,0.05,0.01,0.01,7.45,0.86,0.35,8.66
30668,CBS10,17.3,17.5,0.2,20.8,79.2,0.263,4.97,15.0,0.34,60.45,2.34,1.77,0.054,0.16,0.05,0.078,0.03,0.05,0.01,0.02,7.52,0.87,0.38,8.77,60.41,1.98,1.46,0.046,0.2,0.04,0.082,0.027,0.04,0.01,0.02,8.12,0.86,0.28,9.26,60.44,2.27,1.71,0.05,0.17,0.05,0.08,0.03,0.05,0.01,0.02,7.64,0.87,0.36,8.87
30669,CBS10,17.5,17.8,0.3,13.1,86.9,0.150,9.35,15.85,0.79,60.08,2.47,2.01,0.131,0.2,0.05,0.084,0.035,0.05,0.02,0.02,7.6,0.87,0.43,8.89,59.79,2.3,1.8,0.121,0.25,0.04,0.088,0.032,0.04,0.01,0.02,8.02,0.81,0.5,9.33,60.04,2.45,1.98,0.13,0.21,0.05,0.08,0.03,0.05,0.02,0.02,7.65,0.86,0.43,8.94
30670,CBS10,17.8,18.35,0.55,20.2,79.8,0.254,4.72,15.8,,60.66,2.39,1.87,0.088,0.14,0.04,0.08,0.034,0.04,0.01,0.02,6.89,0.9,0.38,8.17,61.0,2.1,1.61,0.059,0.14,0.04,0.084,0.033,0.03,0.01,0.02,7.07,0.89,0.37,8.33,60.73,2.33,1.82,0.08,0.14,0.04,0.08,0.03,0.04,0.01,0.02,6.93,0.90,0.38,8.20
30671,CBS10,18.35,18.7,0.35,19.4,80.6,0.241,9.33,15.85,,58.24,4.22,3.13,0.205,0.12,0.05,0.092,0.034,0.07,0.15,0.01,6.8,1.12,0.42,8.34,59.4,3.0,1.85,0.098,0.13,0.03,0.115,0.026,0.05,0.1,0.0,7.97,0.93,0.29,9.19,58.47,3.98,2.88,0.18,0.12,0.05,0.10,0.03,0.07,0.14,0.01,7.03,1.08,0.39,8.51
30672,CBS10,18.7,19.35,0.65,20.8,79.2,0.262,9.32,15.85,,59.36,3.5,2.23,0.117,0.11,0.05,0.092,0.029,0.05,0.08,0.0,7.41,0.93,0.36,8.7,59.47,3.11,1.56,0.068,0.13,0.03,0.094,0.023,0.05,0.06,0.01,8.36,0.89,0.27,9.52,59.38,3.42,2.09,0.11,0.11,0.05,0.09,0.03,0.05,0.08,-,7.61,0.92,0.34,8.87
30673,CBS10,19.35,19.6,0.25,20.9,79.1,0.264,9.33,15.85,,57.28,5.22,3.42,0.141,0.08,0.2,0.062,0.034,0.06,0.12,0.0,6.77,1.23,0.47,8.46,58.83,3.65,1.93,0.085,0.11,0.07,0.061,0.025,0.04,0.08,0.01,8.17,1.0,0.29,9.46,57.60,4.89,3.10,0.13,0.09,0.17,0.06,0.03,0.06,0.11,0.00,7.06,1.18,0.43,8.67
30674,CBS10,19.6,20.3,0.7,27.4,72.6,0.377,,15.65,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30675,CBS10,20.3,20.7,0.4,20.6,79.4,0.259,1.56,15.8,1.37,49.03,12.4,9.46,0.108,0.04,0.5,0.036,0.022,0.09,0.03,0.05,3.23,3.2,0.4,6.83,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30676,CBS10,20.7,20.7,0.0,19.9,80.1,0.248,1.56,19.61,0.78,58.01,6.37,4.53,0.062,0.04,0.23,0.043,0.021,0.06,0.02,0.02,3.53,1.61,0.28,5.42,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30677,CBS10,20.7,21.3,0.6,19.5,80.5,0.243,1.52,15.8,0.99,58.70,5.76,4.03,0.054,0.04,0.18,0.035,0.022,0.05,0.02,0.02,3.84,1.33,0.28,5.45,63.84,1.95,1.12,0.021,0.03,0.05,0.035,0.019,0.04,0.01,0.0,4.77,0.61,0.16,5.54,59.70,5.02,3.46,0.05,0.04,0.15,0.04,0.02,0.05,0.02,-,4.02,1.19,0.26,5.47
30678,CBS10,21.3,21.5,0.2,19.8,80.2,0.247,1.45,15.8,0.86,60.47,4.93,3.26,0.052,0.04,0.14,0.034,0.019,0.06,0.01,0.02,3.39,1.09,0.32,4.8,63.1,2.35,1.26,0.024,0.04,0.08,0.039,0.014,0.03,0.01,0.02,4.7,0.7,0.22,5.62,60.99,4.42,2.86,0.05,0.04,0.13,0.03,0.02,0.05,0.01,0.02,3.65,1.01,0.30,4.96
30679,CBS10,21.5,22.0,0.5,19.7,80.3,0.246,1.77,15.2,0.73,62.60,4.26,1.68,0.07,0.03,0.07,0.027,0.014,0.04,0.03,0.02,3.09,0.65,0.33,4.07,61.58,6.26,0.77,0.021,0.02,0.03,0.026,0.011,0.04,0.01,0.02,4.12,0.54,0.23,4.89,62.40,4.65,1.50,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.02,3.29,0.63,0.31,4.23
30680,CBS10,22.0,22.4,0.4,18.9,81.1,0.233,1.69,15.5,0.67,64.81,2.4,1.1,0.035,0.03,0.04,0.032,0.015,0.04,0.01,0.01,2.83,0.51,0.27,3.61,63.71,2.63,0.83,0.021,0.03,0.02,0.045,0.013,0.04,0.01,0.02,4.65,0.56,0.21,5.42,64.60,2.44,1.05,0.03,0.03,0.04,0.03,0.01,0.04,0.01,0.01,3.17,0.52,0.26,3.95
30681,CBS10,22.4,22.85,0.45,21.9,78.1,0.281,1.84,15.5,0.76,60.80,3.9,2.41,0.088,0.04,0.04,0.05,0.024,0.06,0.01,0.02,4.89,0.87,0.29,6.05,61.27,3.34,1.07,0.02,0.03,0.02,0.06,0.016,0.06,0.01,0.02,6.88,0.68,0.18,7.74,60.90,3.78,2.12,0.07,0.04,0.04,0.05,0.02,0.06,0.01,0.02,5.33,0.83,0.27,6.42
30682,CBS10,22.85,23.25,0.4,20.8,79.2,0.262,1.47,15.8,0.87,58.81,4.59,3.55,0.156,0.05,0.04,0.072,0.028,0.06,0.01,0.02,5.58,1.18,0.32,7.08,60.74,2.25,1.55,0.043,0.05,0.04,0.095,0.023,0.03,0.01,0.03,7.44,0.79,0.26,8.49,59.21,4.10,3.13,0.13,0.05,0.04,0.08,0.03,0.05,0.01,0.02,5.97,1.10,0.31,7.37
30683,CBS10,23.25,23.8,0.55,23.0,77.0,0.299,2.38,15.8,0.58,63.17,2.2,1.4,0.054,0.03,0.03,0.051,0.018,0.04,0.01,0.01,4.65,0.64,0.25,5.54,64.01,1.44,0.74,0.015,0.02,0.03,0.051,0.011,0.02,0.0,0.03,5.29,0.55,0.21,6.05,63.36,2.03,1.25,0.05,0.03,0.03,0.05,0.02,0.04,0.01,0.02,4.80,0.62,0.24,5.66
30684,CBS10,23.8,24.3,0.5,18.3,81.7,0.225,2.45,15.85,0.56,63.70,2.25,1.21,0.044,0.03,0.02,0.048,0.017,0.03,0.01,0.01,4.27,0.58,0.25,5.1,63.67,1.66,0.72,0.013,0.02,0.03,0.051,0.013,-0.01,0.0,0.02,5.48,0.55,0.17,6.19,63.69,2.14,1.12,0.04,0.03,0.02,0.05,0.02,0.02,0.01,0.01,4.49,0.57,0.24,5.30
30685,CBS10,24.3,24.7,0.4,27.2,72.8,0.374,,15.85,0.72,63.15,2.69,1.38,0.06,0.03,0.03,0.048,0.017,0.04,0.01,0.01,4.15,0.64,0.25,5.04,63.13,1.6,0.7,0.015,0.02,0.02,0.04,0.011,0.01,0.01,0.0,6.29,0.61,0.17,7.07,63.14,2.39,1.19,0.05,0.03,0.03,0.05,0.02,0.03,0.01,0.01,4.73,0.63,0.23,5.59
30686,CBS10,24.7,25.1,0.4,28.4,71.6,0.397,,,0.62,62.29,2.96,1.83,0.069,0.04,0.03,0.059,0.02,0.05,0.01,0.02,4.88,0.78,0.26,5.92,62.64,1.56,0.74,0.016,0.04,0.02,0.049,0.012,0.02,0.0,0.02,7.41,0.7,0.14,8.25,62.39,2.56,1.52,0.05,0.04,0.03,0.06,0.02,0.04,0.01,0.02,5.60,0.76,0.23,6.58
30687,CBS10,25.1,25.8,0.7,21.9,78.1,0.280,,,,63.46,2.94,1.73,0.072,0.05,0.03,0.061,0.017,0.04,0.01,0.03,3.32,0.69,0.26,4.27,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30688,CBS10,25.8,26.1,0.3,0.0,-,-,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30745,CBS11,26.3,26.6,0.3,22.9,77.1,0.296,,,,47.51,12.44,9.98,0.711,0.11,0.08,0.042,0.037,0.08,0.09,0.02,5.41,2.48,0.35,8.24,55.62,7.27,4.91,0.202,0.05,0.04,0.043,0.034,0.04,0.03,0.0,6.31,1.22,0.23,7.76,49.36,11.26,8.82,0.59,0.10,0.07,0.04,0.04,0.07,0.07,-,5.62,2.19,0.32,8.13
30746,CBS11,26.6,27.0,0.4,0.0,-,-,,,,49.05,11.43,9.03,0.531,0.08,0.07,0.041,0.045,0.07,0.1,0.02,5.47,2.35,0.34,8.16,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30747,CBS11,27.0,26.75,-0.25,0.0,-,-,,,,39.87,23.51,10.38,0.751,0.1,0.08,0.038,0.054,0.12,0.24,0.02,4.26,2.73,0.37,7.36,39.07,32.45,5.04,0.292,0.07,0.05,0.033,0.064,0.08,0.17,0.02,4.41,1.24,0.25,5.9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30748,CBS11,26.75,27.3,0.55,0.0,-,-,,,,49.51,13.69,6.86,0.425,0.07,0.06,0.038,0.044,0.08,0.14,0.01,5.58,1.73,0.3,7.61,52.71,14.9,2.51,0.096,0.04,0.03,0.029,0.04,0.03,0.05,0.0,5.89,0.73,0.19,6.81,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30749,CBS11,27.3,27.7,0.4,27.2,72.8,0.373,,,,50.85,11.43,6.48,0.355,0.06,0.06,0.038,0.042,0.07,0.11,0.01,6.4,1.6,0.29,8.29,55.05,10.17,2.71,0.079,0.07,0.03,0.031,0.033,0.03,0.03,0.0,6.91,0.81,0.18,7.9,51.99,11.09,5.46,0.28,0.06,0.05,0.04,0.04,0.06,0.09,0.01,6.54,1.39,0.26,8.18
30750,CBS11,27.7,28.1,0.4,27.0,73.0,0.370,,,,51.99,10.2,6.33,0.286,0.05,0.06,0.035,0.038,0.08,0.12,0.02,6.31,1.75,0.28,8.34,56.38,8.67,2.61,0.076,0.06,0.03,0.031,0.036,0.03,0.07,0.0,6.65,0.79,0.2,7.64,53.18,9.79,5.32,0.23,0.05,0.05,0.03,0.04,0.07,0.10,-,6.40,1.49,0.26,8.15
30751,CBS11,28.1,28.4,0.3,26.3,73.7,0.358,,,,53.65,8.34,5.65,0.233,0.04,0.06,0.036,0.036,0.07,0.09,0.0,6.71,1.6,0.26,8.57,57.55,6.8,2.36,0.067,0.04,0.03,0.031,0.026,0.03,0.04,0.0,7.21,0.82,0.18,8.21,54.68,7.93,4.78,0.19,0.04,0.05,0.03,0.03,0.06,0.07,0.00,6.84,1.39,0.24,8.48
30752,CBS11,28.4,28.7,0.3,27.2,72.8,0.374,,,,54.43,7.71,5.33,0.188,0.06,0.05,0.033,0.034,0.05,0.07,0.0,6.78,1.53,0.25,8.56,57.31,6.56,2.79,0.06,0.05,0.03,0.028,0.037,0.03,0.06,0.0,7.17,0.92,0.21,8.3,55.21,7.40,4.64,0.15,0.06,0.04,0.03,0.03,0.04,0.07,-,6.89,1.36,0.24,8.49
30753,CBS11,28.7,29.0,0.3,29.0,71.0,0.408,,,,53.91,7.63,5.73,0.351,0.1,0.05,0.032,0.033,0.06,0.07,0.01,6.7,1.54,0.27,8.51,56.74,6.56,2.79,0.064,0.05,0.03,0.028,0.03,0.03,0.03,0.0,7.94,0.88,0.19,9.01,54.73,7.32,4.88,0.27,0.09,0.04,0.03,0.03,0.05,0.06,-,7.06,1.35,0.25,8.65
30754,CBS11,29.0,29.2,0.2,25.8,74.2,0.348,,,,54.85,7.07,5.76,0.52,0.12,0.05,0.033,0.029,0.05,0.05,0.02,6.05,1.44,0.27,7.76,58.41,4.68,2.58,0.07,0.06,0.03,0.031,0.029,0.02,0.02,0.0,7.68,0.78,0.19,8.65,55.77,6.45,4.94,0.40,0.10,0.04,0.03,0.03,0.04,0.04,-,6.47,1.27,0.25,7.99
30755,CBS11,29.2,29.6,0.4,27.8,72.2,0.384,,,,55.50,6.65,5.3,0.417,0.1,0.05,0.035,0.028,0.05,0.05,0.0,6.15,1.47,0.24,7.86,58.76,4.19,2.45,0.064,0.06,0.03,0.034,0.027,0.03,0.02,0.0,7.63,0.78,0.19,8.6,56.40,5.96,4.51,0.32,0.09,0.04,0.03,0.03,0.04,0.04,-,6.56,1.27,0.23,8.06
30756,CBS11,29.6,30.0,0.4,0.0,-,-,,,,54.50,7.22,5.51,0.347,0.11,0.04,0.035,0.027,0.04,0.06,0.0,6.53,1.6,0.24,8.37,58.32,5.3,2.64,0.063,0.08,0.03,0.039,0.03,0.03,0.02,0.0,7.48,0.76,0.21,8.45,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30757,CBS11,30.0,30.3,0.3,27.4,72.6,0.378,,,,53.11,9.71,5.43,0.312,0.1,0.05,0.041,0.037,0.06,0.11,0.01,6.1,1.6,0.23,7.93,57.17,7.58,2.13,0.054,0.09,0.03,0.044,0.025,0.04,0.02,0.0,7.21,0.8,0.21,8.22,54.22,9.13,4.53,0.24,0.10,0.04,0.04,0.03,0.05,0.08,-,6.40,1.38,0.22,8.01
30758,CBS11,30.3,31.15,0.85,28.0,72.0,0.389,,,,54.99,7.13,4.63,0.227,0.08,0.04,0.05,0.027,0.06,0.06,0.0,7.0,1.44,0.23,8.67,57.91,5.96,1.81,0.045,0.07,0.02,0.052,0.022,0.03,0.01,0.02,7.76,0.79,0.19,8.74,55.81,6.80,3.84,0.18,0.08,0.03,0.05,0.03,0.05,0.05,0.01,7.21,1.26,0.22,8.69
30759,CBS11,31.15,31.55,0.4,0.0,-,-,,,,55.70,6.62,4.29,0.188,0.07,0.04,0.051,0.026,0.04,0.05,0.0,7.19,1.38,0.23,8.8,58.39,5.57,1.59,0.041,0.05,0.02,0.054,0.017,0.03,0.01,0.02,8.05,0.81,0.19,9.05,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30760,CBS11,31.55,31.85,0.3,0.0,-,-,,,,53.19,8.15,5.52,0.226,0.11,0.04,0.049,0.03,0.06,0.05,0.03,7.44,1.74,0.23,9.41,57.34,6.4,1.66,0.04,0.07,0.02,0.049,0.025,0.02,0.02,0.03,8.45,0.82,0.2,9.47,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30761,CBS11,31.85,32.15,0.3,22.0,78.0,0.282,,,,56.18,6.15,3.59,0.128,0.14,0.03,0.052,0.033,0.03,0.03,0.01,7.73,1.21,0.21,9.15,59.35,4.42,1.57,0.034,0.09,0.02,0.046,0.019,0.03,0.01,0.02,7.82,0.76,0.18,8.76,56.88,5.77,3.15,0.11,0.13,0.03,0.05,0.03,0.03,0.03,0.01,7.75,1.11,0.20,9.06
30762,CBS11,32.15,32.55,0.4,21.2,78.8,0.269,,,,57.30,5.07,2.88,0.1,0.1,0.03,0.054,0.062,0.04,0.03,0.03,7.68,1.11,0.24,9.03,59.51,4.82,1.22,0.026,0.08,0.02,0.047,0.018,0.03,0.01,0.02,7.91,0.74,0.17,8.82,57.77,5.02,2.53,0.08,0.10,0.03,0.05,0.05,0.04,0.03,0.02,7.73,1.03,0.23,8.99
30763,CBS11,32.55,32.85,0.3,23.3,76.7,0.303,,,,57.65,4.79,2.73,0.073,0.09,0.04,0.056,0.056,0.05,0.03,0.02,7.65,1.09,0.18,8.92,59.92,3.77,1.47,0.028,0.06,0.02,0.051,0.022,0.04,0.02,0.03,7.97,0.79,0.18,8.94,58.18,4.55,2.44,0.06,0.08,0.04,0.05,0.05,0.05,0.03,0.02,7.72,1.02,0.18,8.92
30764,CBS11,32.85,33.15,0.3,22.1,77.9,0.283,,,,57.28,5.59,3.0,0.084,0.08,0.03,0.055,0.04,0.04,0.03,0.03,7.15,1.15,0.2,8.5,58.7,6.47,1.43,0.031,0.06,0.02,0.047,0.018,0.04,0.03,0.02,7.09,0.76,0.17,8.02,57.59,5.78,2.65,0.07,0.08,0.03,0.05,0.04,0.04,0.03,0.03,7.14,1.06,0.19,8.39
30765,CBS11,33.15,33.45,0.3,0.0,-,-,,,,55.34,6.57,3.86,0.094,0.18,0.04,0.059,0.038,0.05,0.04,0.02,7.89,1.42,0.22,9.53,57.35,7.35,1.5,0.03,0.11,0.02,0.052,0.018,0.04,0.02,0.02,7.92,0.84,0.17,8.93,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30766,CBS11,33.45,33.85,0.4,0.0,-,-,,,,51.05,9.24,6.34,0.193,0.24,0.04,0.052,0.04,0.06,0.04,0.04,8.02,2.01,0.25,10.28,56.58,7.62,1.52,0.036,0.14,0.02,0.051,0.02,0.03,0.06,0.03,8.33,0.81,0.2,9.34,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
30767,CBS11,33.85,34.25,0.4,22.5,77.5,0.290,,,,54.25,6.83,4.25,0.141,0.24,0.04,0.052,0.044,0.05,0.03,0.04,8.58,1.48,0.29,10.35,58.33,5.85,0.97,0.031,0.11,0.02,0.045,0.022,0.02,0.03,0.03,8.66,0.71,0.16,9.53,55.17,6.61,3.51,0.12,0.21,0.04,0.05,0.04,0.04,0.03,0.04,8.60,1.31,0.26,10.17
